# pTL pTH v2	stat	sys1	sys2
1	2	0.06194072385295	0.040753538519996	0.036835043222191	0.050944001139926
2	3	0.156788496247744	0.012539184952978	0.014889094708844	0.020374988125772
3	4	0.174050061745987	0.007835803172794	0.014105395649283	0.019591289066211
4	5	0.14193739906906	0.007835803172794	0.014890282131661	0.019592476489028
5	6	0.121581409708369	0.008619502232355	0.014886719863209	0.020371425857319
6	8	0.110638121022134	0.007836990595611	0.014881970171939	0.020371425857319
8	10	0.102056616319939	0.010189275197112	0.014890282131662	0.009410325828821
10	15	0.068817683100599	0.010580531015484	0.014497838890472	0.009004820936639
15	20	0.078711883727558	0.018809964852285	0.014891469554479	0.009403201291916
20	40	0.059757053291536	0.024686520376176	0.022333048351857	0.009398451600646

